closing_price,daily_high,daily_low,date_text,open_price
,,,,
"1,499.23","1,504.20","1,489.35",9/19/2019,"1,493.05"
"1,494.13","1,511.00","1,484.95",9/18/2019,"1,501.85"
"1,501.15","1,507.10","1,493.70",9/17/2019,"1,498.75"
"1,498.63","1,511.90","1,496.00",9/16/2019,"1,504.55"
"1,483.25","1,508.90","1,483.25",9/13/2019,"1,497.85"
"1,499.15","1,524.25","1,489.40",9/12/2019,"1,497.05"
"1,496.98","1,498.20","1,486.15",9/11/2019,"1,486.85"
"1,485.65","1,500.70","1,485.10",9/10/2019,"1,498.40"
"1,499.13","1,515.10","1,498.10",9/9/2019,"1,514.43"
"1,502.15","1,502.15","1,502.15",9/8/2019,"1,502.15"
"1,502.15","1,527.65","1,502.15",9/6/2019,"1,518.90"
"1,519.35","1,553.00","1,510.60",9/5/2019,"1,551.55"
"1,552.55","1,557.00","1,534.10",9/4/2019,"1,546.38"
"1,549.35","1,549.65","1,521.90",9/3/2019,"1,527.00"
"1,529.85","1,533.70","1,519.80",9/2/2019,"1,529.70"
"1,520.25","1,520.25","1,520.25",9/1/2019,"1,520.25"
"1,520.25","1,532.60","1,517.75",8/30/2019,"1,527.70"
"1,503.20","1,550.10","1,503.05",8/29/2019,"1,539.35"
"1,538.95","1,546.65","1,532.25",8/28/2019,"1,541.10"
"1,542.55","1,544.40","1,526.10",8/27/2019,"1,527.00"
"1,522.05","1,554.75","1,522.05",8/26/2019,"1,545.15"
"1,481.15","1,481.15","1,481.15",8/25/2019,"1,481.15"
"1,481.15","1,529.85","1,481.15",8/23/2019,"1,498.85"
"1,481.15","1,504.50","1,481.15",8/22/2019,"1,502.10"
"1,492.15","1,507.90","1,492.15",8/21/2019,"1,506.60"
"1,507.55","1,508.10","1,493.55",8/20/2019,"1,496.85"
"1,495.85","1,513.00","1,493.60",8/19/2019,"1,509.90"
"1,514.15","1,514.15","1,514.15",8/18/2019,"1,514.15"
"1,514.15","1,527.30","1,504.85",8/16/2019,"1,522.05"
"1,515.15","1,526.60","1,508.40",8/15/2019,"1,519.00"
"1,500.15","1,523.55","1,495.00",8/14/2019,"1,501.90"
"1,475.15","1,534.35","1,475.15",8/13/2019,"1,510.65"
"1,502.15","1,517.00","1,488.35",8/12/2019,"1,496.05"
"1,495.25","1,495.25","1,495.25",8/11/2019,"1,495.25"
"1,495.25","1,508.05","1,495.00",8/9/2019,"1,506.70"
"1,500.15","1,509.40","1,490.10",8/8/2019,"1,498.65"
"1,501.45","1,510.05","1,472.50",8/7/2019,"1,474.45"
"1,474.28","1,474.85","1,456.95",8/6/2019,"1,469.10"
"1,453.75","1,469.65","1,437.20",8/5/2019,"1,440.35"
"1,453.58","1,453.58","1,451.85",8/4/2019,"1,451.85"
"1,451.85","1,451.85","1,430.40",8/2/2019,"1,444.95"
"1,450.15","1,450.15","1,401.00",8/1/2019,"1,416.05"
"1,413.83","1,432.70","1,411.50",7/31/2019,"1,430.90"
"1,430.65","1,432.65","1,422.50",7/30/2019,"1,425.95"
"1,430.05","1,430.05","1,417.30",7/29/2019,"1,420.45"
"1,418.65","1,418.65","1,418.65",7/28/2019,"1,418.65"
"1,418.65","1,424.50","1,413.90",7/26/2019,"1,415.10"
"1,414.53","1,433.55","1,411.40",7/25/2019,"1,425.55"
"1,425.58","1,428.40","1,416.55",7/24/2019,"1,417.40"
"1,417.38","1,429.25","1,414.65",7/23/2019,"1,424.90"
"1,425.13","1,429.40","1,422.70",7/22/2019,"1,426.45"
"1,418.15","1,418.15","1,418.15",7/21/2019,"1,418.15"
"1,418.15","1,452.20","1,418.15",7/19/2019,"1,449.25"
"1,445.95","1,447.90","1,415.05",7/18/2019,"1,426.60"
"1,426.70","1,426.80","1,400.55",7/17/2019,"1,406.85"
"1,406.33","1,418.25","1,401.55",7/16/2019,"1,415.10"
"1,414.08","1,419.75","1,408.00",7/15/2019,"1,415.85"
"1,426.85","1,426.85","1,426.85",7/14/2019,"1,426.85"
"1,426.85","1,426.85","1,403.45",7/12/2019,"1,404.75"
"1,403.93","1,425.95","1,401.60",7/11/2019,"1,419.65"
"1,378.25","1,419.00","1,378.25",7/10/2019,"1,396.85"
"1,397.60","1,399.70","1,386.60",7/9/2019,"1,395.75"
"1,395.50","1,407.60","1,392.30",7/8/2019,"1,399.30"
"1,399.95","1,399.95","1,399.95",7/7/2019,"1,399.95"
"1,399.95","1,423.65","1,387.80",7/5/2019,"1,416.75"
"1,417.70","1,421.70","1,410.80",7/4/2019,"1,419.65"
"1,423.45","1,436.20","1,412.55",7/3/2019,"1,423.15"
"1,423.35","1,423.35","1,384.35",7/2/2019,"1,384.35"
"1,382.45","1,395.50","1,355.15",7/1/2019,"1,392.35"
"1,409.50","1,409.50","1,409.50",6/30/2019,"1,409.50"
"1,409.50","1,424.05","1,406.20",6/28/2019,"1,409.40"
"1,409.68","1,411.65","1,399.70",6/27/2019,"1,408.60"
"1,407.45","1,421.40","1,402.60",6/26/2019,"1,421.25"
"1,423.25","1,438.65","1,412.30",6/25/2019,"1,418.85"
"1,419.55","1,421.05","1,400.55",6/24/2019,"1,400.55"
"1,399.05","1,399.05","1,399.05",6/23/2019,"1,399.05"
"1,399.05","1,410.30","1,382.75",6/21/2019,"1,388.35"
"1,388.18","1,393.00","1,357.80",6/20/2019,"1,359.15"
"1,333.05","1,362.20","1,333.05",6/19/2019,"1,346.35"
"1,346.48","1,354.05","1,338.70",6/18/2019,"1,340.10"
"1,336.15","1,343.20","1,333.00",6/17/2019,"1,342.00"
"1,333.05","1,333.05","1,333.05",6/16/2019,"1,333.05"
"1,333.05","1,358.00","1,333.05",6/14/2019,"1,342.50"
"1,342.35","1,343.20","1,332.60",6/13/2019,"1,333.80"
"1,333.55","1,338.15","1,326.30",6/12/2019,"1,326.95"
"1,329.55","1,329.90","1,320.00",6/11/2019,"1,328.20"
"1,328.13","1,337.60","1,325.20",6/10/2019,"1,335.40"
"1,340.70","1,340.70","1,340.70",6/9/2019,"1,340.70"
"1,340.70","1,348.05","1,330.40",6/7/2019,"1,335.85"
"1,335.60","1,339.80","1,327.50",6/6/2019,"1,332.25"
"1,330.18","1,343.95","1,324.60",6/5/2019,"1,325.35"
"1,325.28","1,329.05","1,320.10",6/4/2019,"1,325.05"
"1,325.18","1,327.80","1,306.70",6/3/2019,"1,306.80"
"1,305.65","1,305.65","1,305.65",6/2/2019,"1,305.65"
"1,305.65","1,306.90","1,288.15",5/31/2019,"1,288.30"
"1,289.05","1,289.15","1,275.20",5/30/2019,"1,280.15"
"1,292.85","1,292.85","1,279.25",5/29/2019,"1,279.88"
"1,292.85","1,292.85","1,276.30",5/28/2019,"1,285.45"
"1,285.20","1,287.50","1,283.90",5/27/2019,"1,285.55"
"1,292.85","1,292.85","1,292.85",5/26/2019,"1,292.85"
"1,292.85","1,292.85","1,280.85",5/24/2019,"1,283.60"
"1,283.45","1,287.25","1,272.95",5/23/2019,"1,273.80"
"1,273.85","1,277.30","1,272.60",5/22/2019,"1,274.70"
"1,269.15","1,278.00","1,269.15",5/21/2019,"1,277.70"
"1,297.85","1,297.85","1,273.90",5/20/2019,"1,278.55"
"1,277.55","1,277.55","1,277.55",5/19/2019,"1,277.55"
"1,277.55","1,288.85","1,275.30",5/17/2019,"1,286.70"
"1,280.15","1,298.70","1,280.15",5/16/2019,"1,296.60"
"1,307.35","1,307.35","1,293.10",5/15/2019,"1,297.20"
"1,311.85","1,311.85","1,293.85",5/14/2019,"1,300.65"
"1,300.05","1,301.20","1,282.15",5/13/2019,"1,287.15"
"1,286.00","1,286.00","1,286.00",5/12/2019,"1,286.00"
"1,286.00","1,289.45","1,283.30",5/10/2019,"1,284.55"
"1,284.13","1,288.00","1,279.80",5/9/2019,"1,281.30"
"1,280.93","1,291.45","1,279.50",5/8/2019,"1,284.05"
"1,288.85","1,288.85","1,278.50",5/7/2019,"1,281.35"
"1,275.15","1,285.65","1,275.15",5/6/2019,"1,282.75"
"1,276.65","1,276.65","1,276.65",5/5/2019,"1,276.65"
"1,276.65","1,282.50","1,269.30",5/3/2019,"1,270.65"
"1,287.85","1,287.85","1,266.75",5/2/2019,"1,277.30"
"1,276.68","1,287.10","1,273.15",5/1/2019,"1,283.40"
"1,287.95","1,287.95","1,280.00",4/30/2019,"1,280.15"
"1,288.05","1,288.05","1,278.30",4/29/2019,"1,285.95"
"1,286.25","1,286.25","1,286.25",4/28/2019,"1,286.25"
"1,286.25","1,286.25","1,286.25",4/27/2019,"1,286.25"
"1,286.25","1,288.75","1,276.70",4/26/2019,"1,277.45"
"1,277.35","1,282.55","1,273.50",4/25/2019,"1,275.60"
"1,275.38","1,278.50","1,268.90",4/24/2019,"1,272.25"
"1,265.65","1,276.50","1,265.65",4/23/2019,"1,275.40"
"1,273.25","1,279.80","1,273.25",4/22/2019,"1,276.50"
"1,274.10","1,274.10","1,274.10",4/21/2019,"1,274.10"
"1,274.10","1,277.70","1,271.40",4/18/2019,"1,274.40"
"1,274.13","1,279.60","1,273.20",4/17/2019,"1,277.05"
"1,272.95","1,288.70","1,272.15",4/16/2019,"1,288.05"
"1,273.15","1,292.20","1,271.15",4/15/2019,"1,292.20"
"1,290.40","1,290.40","1,290.40",4/14/2019,"1,290.40"
"1,290.40","1,295.65","1,290.40",4/12/2019,"1,292.65"
"1,288.75","1,309.20","1,288.75",4/11/2019,"1,308.20"
"1,307.85","1,310.65","1,301.40",4/10/2019,"1,304.55"
"1,303.88","1,306.10","1,296.70",4/9/2019,"1,298.05"
"1,292.65","1,303.80","1,291.50",4/8/2019,"1,292.30"
"1,290.15","1,290.15","1,290.15",4/7/2019,"1,290.15"
"1,290.15","1,293.65","1,284.70",4/5/2019,"1,292.90"
"1,294.35","1,294.35","1,281.20",4/4/2019,"1,290.55"
"1,289.95","1,294.40","1,288.60",4/3/2019,"1,292.35"
"1,293.15","1,293.15","1,285.60",4/2/2019,"1,287.75"
"1,285.15","1,296.90","1,285.15",4/1/2019,"1,292.30"
"1,292.88","1,292.88","1,292.88",3/31/2019,"1,292.88"
"1,292.88","1,299.70","1,287.20",3/29/2019,"1,291.15"
"1,291.20","1,312.33","1,288.75",3/28/2019,"1,309.33"
"1,309.78","1,319.33","1,308.43",3/27/2019,"1,316.73"
"1,316.38","1,323.28","1,312.93",3/26/2019,"1,321.98"
"1,322.23","1,327.88","1,311.13",3/25/2019,"1,312.33"
"1,313.08","1,314.03","1,312.63",3/24/2019,"1,313.23"
"1,313.23","1,314.83","1,307.13",3/22/2019,"1,309.33"
"1,309.53","1,320.43","1,300.83",3/21/2019,"1,314.33"
"1,314.13","1,316.88","1,299.63",3/20/2019,"1,306.78"
"1,306.73","1,310.98","1,302.63",3/19/2019,"1,303.53"
